text,label
"Security Alert: Unusual login. Check details: https://bit.ly/secure-account-update",1
"Happy birthday! Hope you have a wonderful day.",0
"FINAL NOTICE: Update payment info at http://netflix-payment-failed.com",1
"I will be late for the stand-up meeting, sorry.",0
"Win a brand new iPhone 15! Click: http://apple-giveaway-promo.site",1
"Did you remember to buy milk?",0
"HR: Review salary document. Download: http://company-hr-portal.fake/salary.pdf",1
"Let's grab lunch at the usual place.",0
"PayPal: Payment pending. Accept here: www.paypal-support-center.com/auth",1
"What time is the football match starting?",0
"Delivery failed. Reschedule here: http://fedex-tracking-update.info/package",1
"Mom called, she wants you to call her back.",0
"IRS Warning: Unpaid taxes. View file: http://irs-gov-official-alert.net/tax",1
"The project deadline has been extended to Friday.",0
"Reset password immediately: http://microsoft-security-alert.com/reset",1
"Are you free for a quick call?",0
"Exclusive offer: 90% discount. Shop now: www.fake-shop-promo.cn/deals",1
"I attached the presentation you asked for.",0
"Verify bank account: http://chase-bank-verify-identity.com/alert",1
"See you at the office tomorrow morning.",0
"New voicemail. Listen: http://voice-message-storage.com/play?id=123",1
"Thanks for your help with the report.",0
"Access denied. Update credentials: https://company-admin-login.net",1
"Good morning, how are you today?",0
"Suspicious activity. Confirm: http://visa-card-security.com/fraud-check",1
"Can we reschedule our appointment?",0
"CEO Request: Transfer funds to: http://wire-transfer-details.com/invoice.pdf",1
"Don't forget to walk the dog.",0
"Subscription expired. Renew: www.spotify-premium-renewal.com/pay",1
"I left my keys at your place.",0
"Virus detected! Clean PC: http://antivirus-free-download.site/install",1
"Let's meet at 5 PM near the park.",0
"Claim inheritance. Form: http://lawyer-international-funds.com/claim",1
"Have a safe flight!",0
"Apple ID compromised. Secure now: http://apple-support-recover.id",1
"Do you want coffee?",0
"Netflix: Payment declined. Fix: http://netflix-account-hold.com",1
"The weather looks great for a hike.",0
"Double your money! Join: http://crypto-investment-scheme.xyz/bitcoin",1
"Please review the code changes on GitHub.",0
"Microsoft Security: Call support or visit http://windows-error-fix.com",1
"I am stuck in traffic, will be there soon.",0
"Cash prize survey. Take it: http://surveymonkey-fake-rewards.com",1
"Did you watch the last episode?",0
"Bank of America: New payee. Verify: http://bofa-alert-system.com",1
"Can you pick up the kids from school?",0
"Free Bitcoin! Wallet: http://bitcoin-giveaway-event.io",1
"I need to take a sick day tomorrow.",0
"Storage full. Upgrade: http://google-drive-storage-limit.net",1
"Sounds good, see you then.",0
"FedEx: Tracking error. See: http://fedex-delivery-problem.com",1
"Where did you buy those shoes?",0
"Validate identity: http://gov-id-verification-portal.org",1
"I love this song!",0
"Job Offer: $5000/week. Apply: http://easy-work-from-home.biz",1
"Can you help me move this couch?",0
"Server maintenance. Logs: http://it-department-updates.com",1
"Don't forget the umbrella, it's raining.",0
"Password change attempt. Block: http://facebook-security-check.com",1
"Let's play video games tonight.",0
"Confirm email: http://registration-confirm-link.net",1
"I finished reading the book you recommended.",0
"Refund processed. Details: http://refund-status-check.com",1
"Are you coming to the party?",0
"Cloud deletion warning. Backup: http://dropbox-file-recovery.com",1
"Please sign the birthday card for Sarah.",0
"Phishing attempt detected. Scan: http://norton-security-scan.net",1
"I made pasta for dinner.",0
"Lottery Winner! Ticket: http://lotto-international-winner.com",1
"Can I borrow your charger?",0
"Policy update. Sign: http://docusign-fake-request.com",1
"The meeting room has changed to 304.",0
"Unauthorized access. Check: http://secure-link-verification.com",1
"Did you water the plants?",0
"Facebook account disabled. Reactivate: http://fb-support-appeals.com",1
"Let's confirm the reservation.",0
"Crypto Wallet Drained. Recover: http://metamask-support-help.io",1
"How was your vacation?",0
"Amazon Order Cancelled. View: http://amazon-order-status.net",1
"I will send the invoice later today.",0
"Unsubscribe: http://marketing-list-remove.com",1
"Happy anniversary!",0
"Device at risk. App: http://mobile-security-protector.apk",1
"Can you proofread this email for me?",0
"Access limited. Restore: http://banking-access-restore.com",1
"Running late, start without me.",0
"Loan approval! Get cash: http://quick-loans-approval.com",1
"What do you want for lunch?",0
"Verify mobile number: http://telecom-provider-update.com",1
"I passed the exam!",0
"Hacking tool download: http://darkweb-tools-download.onion",1
"Let's go for a run.",0
"Gmail outdated. Update: http://gmail-service-update.com",1
"Can you send me the wifi password?",0
"Deposit received. Balance: http://bank-balance-check.com",1
"Nice to meet you yesterday.",0
"Profile Suspended. Fix: http://social-media-unlock.com",1
"I need a break.",0
"Free vacation. Ticket: http://travel-agency-winner.com",1
"Call me when you are free.",0
"Photos syncing. View: http://icloud-photo-backup.com",1
"Are you busy right now?",0
"Cheap drugs. Shop: http://pharmacy-no-rx.com",1
"See you in 10 minutes.",0
"Make money fast: http://passive-income-system.com",1
"The printer is out of paper.",0
"Flight confirmed. Ticket: http://airline-ticket-download.com",1
"Did you lock the door?",0
"LinkedIn profile views. See who: http://linkedin-premium-free.com",1
"I really like your new haircut.",0
"Zoom meeting. Join: http://zoom-meeting-invite-fake.com",1
"Can we talk later?",0
"Unknown device. Block: http://router-admin-access.net",1
"Hope you feel better soon.",0
